Feature,Mean |SHAP|
numerical__LiftHold_Left_GyroZ_Range,0.0
numerical__DrinkGlas_Right_GyroZ_Range,0.0
numerical__DrinkGlas_Left_GyroZ_Range,0.0
numerical__TouchIndex_Left_GyroZ_Max,0.0
numerical__TouchIndex_Right_GyroZ_Min,0.0
numerical__DrinkGlas_Right_GyroZ_Min,0.0
numerical__DrinkGlas_Left_GyroZ_Std,0.0
numerical__CrossArms_Right_GyroZ_Mean,0.0
numerical__TouchNose_Right_GyroY_Energy,0.0
numerical__TouchNose_Left_GyroY_Energy,0.0
numerical__CrossArms_Right_AccMag_Median,0.0
numerical__CrossArms_Left_AccMag_Median,0.0
numerical__StretchHold_Left_AccMag_Mean,0.0
numerical__LiftHold_Right_AccMag_Mean,0.0
numerical__LiftHold_Left_AccMag_Mean,0.0
numerical__HoldWeight_Left_AccMag_Mean,0.0
numerical__DrinkGlas_Right_AccMag_Mean,0.0
numerical__DrinkGlas_Left_AccMag_Mean,0.0
numerical__CrossArms_Left_AccMag_Mean,0.0
numerical__DrinkGlas_Right_GyroZ_Energy,0.0
numerical__DrinkGlas_Left_GyroZ_Energy,0.0
numerical__DrinkGlas_Right_GyroZ_RMS,0.0
numerical__DrinkGlas_Left_GyroZ_RMS,0.0
numerical__TouchNose_Right_GyroZ_IQR,0.0
numerical__StretchHold_Left_GyroZ_IQR,0.0
numerical__LiftHold_Left_AccMag_RMS,0.0
numerical__HoldWeight_Left_AccMag_RMS,0.0
numerical__StretchHold_Left_AccMag_IQR,0.0
numerical__LiftHold_Right_AccMag_IQR,0.0
numerical__StretchHold_Left_AccMag_Min,0.0
numerical__LiftHold_Left_AccMag_Min,0.0
numerical__HoldWeight_Right_AccMag_Min,0.0
numerical__DrinkGlas_Right_AccMag_Min,0.0
numerical__DrinkGlas_Left_AccMag_Min,0.0
numerical__CrossArms_Right_AccMag_Min,0.0
numerical__CrossArms_Left_AccMag_Min,0.0
numerical__HoldWeight_Left_AccMag_Median,0.0
numerical__DrinkGlas_Right_AccMag_Median,0.0
numerical__HoldWeight_Left_GyroMag_Mean,0.0
numerical__DrinkGlas_Left_GyroMag_Mean,0.0
numerical__StretchHold_Left_AccMag_RMS,0.0
numerical__HoldWeight_Left_GyroY_Max,0.0
numerical__HoldWeight_Right_GyroY_Std,0.0
numerical__DrinkGlas_Left_GyroY_Std,0.0
numerical__PointFinger_Right_GyroY_Median,0.0
numerical__CrossArms_Right_GyroY_Mean,0.0
numerical__DrinkGlas_Left_GyroX_Energy,0.0
numerical__CrossArms_Left_GyroX_Energy,0.0
numerical__LiftHold_Left_GyroX_RMS,0.0
numerical__HoldWeight_Right_GyroX_RMS,0.0
numerical__TouchNose_Right_GyroMag_Std,0.0
numerical__PointFinger_Left_GyroMag_Std,0.0
numerical__HoldWeight_Left_GyroMag_Std,0.0
numerical__DrinkGlas_Right_GyroMag_Std,0.0
numerical__TouchNose_Right_GyroMag_Median,0.0
numerical__LiftHold_Right_GyroMag_Median,0.0
numerical__LiftHold_Left_GyroMag_Median,0.0
