Feature,Mean |SHAP|
numerical__HoldWeight_RightWrist_acc_x_spectral_centroid,0.0
numerical__StretchHold_Left_AccY_RMS,0.0
numerical__StretchHold_Right_AccZ_Mean,0.0
numerical__PointFinger_Left_AccZ_Median,0.0
numerical__HoldWeight_RightWrist_acc_z_spectral_centroid,0.0
numerical__PointFinger_Right_AccZ_Median,0.0
numerical__TouchIndex_Left_AccZ_Median,0.0
numerical__HoldWeight_Left_AccZ_Std,0.0
numerical__HoldWeight_RightWrist_gyro_x_dominant_frequency,0.0
numerical__HoldWeight_RightWrist_gyro_x_spectral_centroid,0.0
numerical__HoldWeight_RightWrist_gyro_x_spectral_entropy,0.0
numerical__LiftHold_Left_AccZ_Std,0.0
numerical__HoldWeight_RightWrist_gyro_y_spectral_centroid,0.0
numerical__TouchNose_Right_AccZ_Min,0.0
numerical__HoldWeight_RightWrist_gyro_z_dominant_frequency,0.0
numerical__StretchHold_Left_AccZ_Range,0.0
numerical__LiftHold_LeftWrist_acc_x_dominant_frequency,0.0
numerical__CrossArms_Left_AccZ_IQR,0.0
numerical__CrossArms_Right_AccZ_IQR,0.0
numerical__DrinkGlas_Left_AccZ_IQR,0.0
numerical__LiftHold_LeftWrist_acc_z_spectral_centroid,0.0
numerical__DrinkGlas_Right_AccZ_IQR,0.0
numerical__LiftHold_LeftWrist_gyro_magnitude_spectral_centroid,0.0
numerical__LiftHold_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__LiftHold_LeftWrist_gyro_x_dominant_frequency,0.0
numerical__HoldWeight_Left_AccZ_IQR,0.0
numerical__LiftHold_Left_AccZ_IQR,0.0
numerical__PointFinger_Left_AccZ_IQR,0.0
numerical__LiftHold_RightWrist_acc_magnitude_spectral_centroid,0.0
numerical__LiftHold_RightWrist_acc_x_dominant_frequency,0.0
numerical__DrinkGlas_Left_AccZ_RMS,0.0
numerical__HoldWeight_Left_AccZ_RMS,0.0
numerical__LiftHold_RightWrist_acc_z_dominant_frequency,0.0
numerical__LiftHold_Left_AccZ_RMS,0.0
numerical__StretchHold_Left_AccZ_RMS,0.0
numerical__LiftHold_RightWrist_gyro_magnitude_spectral_centroid,0.0
numerical__LiftHold_RightWrist_gyro_magnitude_spectral_entropy,0.0
numerical__LiftHold_RightWrist_gyro_x_dominant_frequency,0.0
numerical__LiftHold_RightWrist_gyro_y_spectral_centroid,0.0
numerical__LiftHold_RightWrist_gyro_y_spectral_entropy,0.0
numerical__PointFinger_LeftWrist_acc_magnitude_dominant_frequency,0.0
numerical__PointFinger_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__DrinkGlas_Left_AccZ_Energy,0.0
numerical__PointFinger_LeftWrist_gyro_x_dominant_frequency,0.0
numerical__PointFinger_LeftWrist_gyro_x_spectral_entropy,0.0
numerical__PointFinger_LeftWrist_gyro_y_spectral_power,0.0
numerical__TouchNose_Left_GyroX_Mean,0.0
numerical__DrinkGlas_Left_GyroX_Std,0.0
numerical__HoldWeight_Left_GyroX_Std,0.0
numerical__HoldWeight_Right_GyroX_Std,0.0
numerical__HoldWeight_Left_GyroX_Min,0.0
numerical__RelaxedTask_LeftWrist_acc_magnitude_spectral_centroid,0.0
numerical__HoldWeight_Right_GyroX_Min,0.0
numerical__RelaxedTask_LeftWrist_acc_y_spectral_entropy,0.0
numerical__LiftHold_Left_GyroX_Min,0.0
numerical__StretchHold_Left_GyroX_Min,0.0
numerical__RelaxedTask_LeftWrist_gyro_x_spectral_entropy,0.0
numerical__RelaxedTask_LeftWrist_gyro_y_dominant_frequency,0.0
numerical__CrossArms_Left_GyroX_Max,0.0
numerical__HoldWeight_Left_GyroX_Max,0.0
numerical__HoldWeight_Right_GyroX_Max,0.0
numerical__LiftHold_Left_GyroX_Max,0.0
numerical__HoldWeight_Left_GyroX_Range,0.0
numerical__HoldWeight_Right_GyroX_Range,0.0
numerical__LiftHold_Left_GyroX_Range,0.0
numerical__DrinkGlas_Left_GyroX_IQR,0.0
numerical__RelaxedTask_RightWrist_acc_z_spectral_centroid,0.0
numerical__RelaxedTask_RightWrist_acc_z_spectral_entropy,0.0
numerical__LiftHold_Left_GyroX_IQR,0.0
numerical__RelaxedTask_RightWrist_gyro_magnitude_spectral_entropy,0.0
numerical__DrinkGlas_Left_GyroX_RMS,0.0
numerical__RelaxedTask_RightWrist_gyro_y_dominant_frequency,0.0
numerical__HoldWeight_Left_GyroX_RMS,0.0
numerical__HoldWeight_Right_GyroX_RMS,0.0
numerical__LiftHold_Left_GyroX_RMS,0.0
numerical__Relaxed_LeftWrist_acc_x_spectral_entropy,0.0
numerical__Relaxed_LeftWrist_acc_z_spectral_centroid,0.0
numerical__CrossArms_Left_GyroX_Energy,0.0
