Feature,Mean |SHAP|
numerical__PointFinger_Right_AccZ_Median,0.0041280813
numerical__CrossArms_Left_AccMag_Median,0.004121063
numerical__TouchNose_RightWrist_gyro_y_spectral_power,0.0039826357
numerical__CrossArms_Right_GyroY_Mean,0.003957321
numerical__PointFinger_RightWrist_acc_x_spectral_entropy,0.0038520636
numerical__TouchIndex_LeftWrist_gyro_y_spectral_entropy,0.0038229486
numerical__HoldWeight_RightWrist_gyro_z_spectral_centroid,0.003748659
numerical__RelaxedTask_RightWrist_gyro_z_spectral_centroid,0.00374242
numerical__TouchIndex_LeftWrist_gyro_magnitude_spectral_entropy,0.0037207324
numerical__LiftHold_Left_AccMag_IQR,0.003616583
numerical__LiftHold_LeftWrist_gyro_y_spectral_centroid,0.0035979245
numerical__RelaxedTask_LeftWrist_gyro_y_spectral_centroid,0.0035913326
numerical__Entrainment_Left_AccY_Median,0.00354693
numerical__StretchHold_Left_AccZ_Std,0.003545521
numerical__TouchNose_Right_AccZ_Median,0.0035326458
numerical__LiftHold_Left_GyroX_Max,0.003514796
numerical__TouchIndex_Right_GyroZ_IQR,0.0035006155
numerical__DrinkGlas_Left_GyroZ_Std,0.0034500705
numerical__CrossArms_Right_AccY_IQR,0.0034166481
numerical__DrinkGlas_RightWrist_acc_magnitude_spectral_entropy,0.0033650892
numerical__HoldWeight_Left_GyroMag_Mean,0.0032974116
numerical__PointFinger_Left_GyroY_Min,0.0031419538
numerical__TouchNose_Right_GyroY_Max,0.0030955658
numerical__DrinkGlas_Right_GyroZ_Max,0.003094394
numerical__DrinkGlas_RightWrist_acc_magnitude_spectral_centroid,0.003093636
numerical__TouchIndex_LeftWrist_acc_x_spectral_entropy,0.0030293507
numerical__CrossArms_Left_GyroX_Std,0.0029966342
numerical__PointFinger_Left_GyroY_IQR,0.0028402144
numerical__LiftHold_LeftWrist_gyro_y_spectral_entropy,0.0028200038
numerical__LiftHold_LeftWrist_acc_y_spectral_entropy,0.0027561218
numerical__PointFinger_LeftWrist_gyro_magnitude_spectral_power,0.0026630978
numerical__CrossArms_Right_GyroMag_Min,0.0025853412
numerical__CrossArms_Left_AccMag_Mean,0.0025381455
numerical__DrinkGlas_Right_GyroMag_Std,0.0025217482
numerical__LiftHold_LeftWrist_gyro_magnitude_spectral_centroid,0.0025095474
numerical__Relaxed_RightWrist_acc_z_spectral_centroid,0.0025081832
numerical__DrinkGlas_Left_GyroX_Std,0.002441654
numerical__HoldWeight_Left_GyroX_IQR,0.0024013729
numerical__LiftHold_RightWrist_acc_z_spectral_centroid,0.0023852077
numerical__LiftHold_Left_AccY_IQR,0.002340106
numerical__HoldWeight_Right_GyroY_IQR,0.0021794704
